Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2022-12-27 00:00:00,1.06397,1.0636,1.0641,768,1.0633,0,,,
2022-12-27 00:05:00,1.06358,1.06364,1.0638,480,1.0634,0,,,
2022-12-27 00:10:00,1.06359,1.06427,1.06431,609,1.0634,0,,,
2022-12-27 00:15:00,1.06428,1.06444,1.0646,592,1.0641,0,,,
2022-12-27 00:20:00,1.0645,1.06418,1.0645,339,1.0636,0,,,
2022-12-27 00:25:00,1.0643,1.06402,1.0643,439,1.0639,0,,,
2022-12-27 00:30:00,1.06401,1.06415,1.0643,461,1.0638,0,,,
2022-12-27 00:35:00,1.06415,1.06381,1.0642,591,1.0636,0,,,
2022-12-27 00:40:00,1.0638,1.06386,1.06387,462,1.0636,0,,,
2022-12-27 00:45:00,1.06385,1.06388,1.0641,406,1.063,0,,,
2022-12-27 00:50:00,1.06387,1.06405,1.06415,592,1.0636,0,,,
2022-12-27 00:55:00,1.06403,1.0641,1.06443,553,1.0637,0,,,
2022-12-27 01:00:00,1.06426,1.06456,1.0646,487,1.0641,0,,,
2022-12-27 01:05:00,1.06454,1.06498,1.06501,490,1.0644,0,,,
2022-12-27 01:10:00,1.06497,1.06492,1.065,637,1.0647,0,,,
2022-12-27 01:15:00,1.0649,1.06483,1.065,625,1.0647,0,,,
2022-12-27 01:20:00,1.06484,1.06465,1.0649,551,1.0644,0,,,
2022-12-27 01:25:00,1.06464,1.06491,1.06499,461,1.0644,0,,,
2022-12-27 01:30:00,1.06492,1.06442,1.06493,520,1.06437,0,,,
2022-12-27 01:35:00,1.06442,1.06432,1.06452,485,1.0642,0,,,
2022-12-27 01:40:00,1.06431,1.06451,1.06455,494,1.064,0,,,
2022-12-27 01:45:00,1.06454,1.06467,1.06479,409,1.0643,0,,,
2022-12-27 01:50:00,1.06471,1.06505,1.06506,509,1.0644,0,,,
2022-12-27 01:55:00,1.06504,1.0652,1.06532,593,1.06456,0,,,
2022-12-27 02:00:00,1.06519,1.06565,1.06577,685,1.0649,0,,,
2022-12-27 02:05:00,1.06564,1.06585,1.06605,559,1.0653,0,,,
2022-12-27 02:10:00,1.06587,1.06507,1.0659,458,1.06505,0,,,
2022-12-27 02:15:00,1.06506,1.06477,1.06514,493,1.0645,0,,,
2022-12-27 02:20:00,1.06478,1.0643,1.065,425,1.0643,0,,,
2022-12-27 02:25:00,1.06457,1.06467,1.0648,391,1.0644,0,,,
2022-12-27 02:30:00,1.06467,1.06461,1.0648,419,1.0644,0,,,
2022-12-27 02:35:00,1.06462,1.06455,1.06472,417,1.0641,0,,,
2022-12-27 02:40:00,1.06454,1.0648,1.0649,481,1.0645,0,,,
2022-12-27 02:45:00,1.06482,1.0648,1.0649,385,1.0646,0,,,
2022-12-27 02:50:00,1.06479,1.06498,1.065,398,1.0645,0,,,
2022-12-27 02:55:00,1.06499,1.06472,1.0651,434,1.0645,0,,,
2022-12-27 03:00:00,1.06474,1.0644,1.0648,511,1.0643,0,,,
2022-12-27 03:05:00,1.06451,1.06425,1.0646,452,1.0641,0,,,
2022-12-27 03:10:00,1.06424,1.06408,1.0646,466,1.0639,0,,,
2022-12-27 03:15:00,1.06408,1.06407,1.0643,504,1.0638,0,,,
2022-12-27 03:20:00,1.06408,1.064,1.06421,381,1.0638,0,,,
2022-12-27 03:25:00,1.0642,1.06395,1.06423,374,1.0635,0,,,
2022-12-27 03:30:00,1.06394,1.0636,1.06404,497,1.0635,0,,,
2022-12-27 03:35:00,1.0634,1.06377,1.0638,471,1.0632,0,,,
2022-12-27 03:40:00,1.06377,1.0639,1.06403,369,1.0636,0,,,
