Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2023-07-23 10:50:00,141.79,141.79,141.79,1,141.79,0,,,
2023-07-23 19:10:00,141.74,141.74,141.74,1,141.74,0,,,
2023-07-23 20:00:00,141.51,141.51,141.51,1,141.51,0,,,
2023-07-23 20:25:00,141.605,141.605,141.605,1,141.605,0,,,
2023-07-23 20:50:00,141.566,141.566,141.566,1,141.566,0,,,
2023-07-23 21:00:00,141.566,141.644,141.648,5,141.566,0,,,
2023-07-23 21:10:00,141.668,141.667,141.668,2,141.667,0,,,
2023-07-23 21:15:00,141.655,141.623,141.66,9,141.623,0,,,
2023-07-23 21:20:00,141.705,141.717,141.717,18,141.704,0,,,
2023-07-23 21:25:00,141.716,141.716,141.717,13,141.714,0,,,
2023-07-23 21:30:00,141.72,141.717,141.725,27,141.696,0,,,
2023-07-23 21:35:00,141.696,141.721,141.726,33,141.696,0,,,
2023-07-23 21:40:00,141.722,141.721,141.722,17,141.701,0,,,
2023-07-23 21:45:00,141.72,141.72,141.721,16,141.717,0,,,
2023-07-23 21:50:00,141.721,141.721,141.722,16,141.719,0,,,
2023-07-23 21:55:00,141.722,141.72,141.722,11,141.718,0,,,
2023-07-23 22:00:00,141.721,141.751,141.758,129,141.703,0,,,
2023-07-23 22:05:00,141.743,141.773,141.778,169,141.703,0,,,
2023-07-23 22:10:00,141.774,141.749,141.774,194,141.745,0,,,
2023-07-23 22:15:00,141.749,141.725,141.762,321,141.718,0,,,
2023-07-23 22:20:00,141.725,141.72,141.745,382,141.711,0,,,
2023-07-23 22:25:00,141.732,141.722,141.739,240,141.698,0,,,
2023-07-23 22:30:00,141.721,141.742,141.746,230,141.707,0,,,
2023-07-23 22:35:00,141.745,141.721,141.746,234,141.72,0,,,
2023-07-23 22:40:00,141.72,141.734,141.734,222,141.713,0,,,
2023-07-23 22:45:00,141.729,141.739,141.746,197,141.724,0,,,
2023-07-23 22:50:00,141.74,141.765,141.77,173,141.735,0,,,
2023-07-23 22:55:00,141.762,141.748,141.77,173,141.738,0,,,
2023-07-23 23:00:00,141.748,141.72,141.748,167,141.706,0,,,
2023-07-23 23:05:00,141.716,141.683,141.716,194,141.679,0,,,
2023-07-23 23:10:00,141.681,141.68,141.714,204,141.671,0,,,
2023-07-23 23:15:00,141.678,141.691,141.718,226,141.669,0,,,
2023-07-23 23:20:00,141.692,141.698,141.701,210,141.662,0,,,
2023-07-23 23:25:00,141.708,141.72,141.722,168,141.689,0,,,
2023-07-23 23:30:00,141.718,141.718,141.73,221,141.699,0,,,
2023-07-23 23:35:00,141.718,141.723,141.724,277,141.696,0,,,
2023-07-23 23:40:00,141.724,141.698,141.742,276,141.689,0,,,
2023-07-23 23:45:00,141.696,141.652,141.702,319,141.638,0,,,
2023-07-23 23:50:00,141.651,141.698,141.71,240,141.647,0,,,
2023-07-23 23:55:00,141.699,141.751,141.765,371,141.699,0,,,
