Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2023-07-28 00:00:00,138.867,138.951,138.957,1392,138.741,0,,,
2023-07-28 00:05:00,138.948,139.01,139.037,1272,138.928,0,,,
2023-07-28 00:10:00,139.022,139.138,139.143,1123,139.013,0,,,
2023-07-28 00:15:00,139.137,139.119,139.158,1067,139.03,0,,,
2023-07-28 00:20:00,139.12,139.176,139.176,523,139.119,0,,,
2023-07-28 00:25:00,139.177,139.063,139.182,890,139.04,0,,,
2023-07-28 00:30:00,139.064,139.047,139.101,990,139.01,0,,,
2023-07-28 00:35:00,139.047,139.15,139.219,1193,139.036,0,,,
2023-07-28 00:40:00,139.15,139.244,139.272,1328,139.066,0,,,
2023-07-28 00:45:00,139.245,139.353,139.356,1366,139.236,0,,,
2023-07-28 00:50:00,139.349,139.418,139.441,1468,139.27,0,,,
2023-07-28 00:55:00,139.414,139.469,139.51,1383,139.343,0,,,
2023-07-28 01:00:00,139.471,139.308,139.524,1215,139.27,0,,,
2023-07-28 01:05:00,139.309,139.358,139.416,1293,139.291,0,,,
2023-07-28 01:10:00,139.359,139.372,139.387,1241,139.253,0,,,
2023-07-28 01:15:00,139.377,139.44,139.477,1153,139.331,0,,,
2023-07-28 01:20:00,139.438,139.374,139.483,1157,139.332,0,,,
2023-07-28 01:25:00,139.375,139.306,139.385,1196,139.26,0,,,
2023-07-28 01:30:00,139.314,139.249,139.36,1404,139.239,0,,,
2023-07-28 01:35:00,139.25,139.297,139.297,1228,139.193,0,,,
2023-07-28 01:40:00,139.297,139.376,139.415,1221,139.296,0,,,
2023-07-28 01:45:00,139.377,139.355,139.398,1255,139.294,0,,,
2023-07-28 01:50:00,139.353,139.324,139.387,1133,139.297,0,,,
2023-07-28 01:55:00,139.324,139.323,139.347,1229,139.261,0,,,
2023-07-28 02:00:00,139.329,139.314,139.393,1198,139.29,0,,,
2023-07-28 02:05:00,139.312,139.361,139.369,1088,139.297,0,,,
2023-07-28 02:10:00,139.362,139.565,139.577,1223,139.32,0,,,
2023-07-28 02:15:00,139.568,139.431,139.59,1104,139.4,0,,,
2023-07-28 02:20:00,139.432,139.486,139.52,1139,139.41,0,,,
2023-07-28 02:25:00,139.487,139.358,139.507,827,139.356,0,,,
2023-07-28 02:30:00,139.356,139.319,139.402,1303,139.313,0,,,
2023-07-28 02:35:00,139.318,139.152,139.361,1382,139.055,0,,,
2023-07-28 02:40:00,139.154,139.277,139.304,1126,139.153,0,,,
2023-07-28 02:45:00,139.276,139.275,139.282,1080,139.19,0,,,
2023-07-28 02:50:00,139.277,139.26,139.279,1065,139.173,0,,,
2023-07-28 02:55:00,139.256,139.224,139.289,1423,139.137,0,,,
2023-07-28 03:00:00,139.225,139.192,139.255,1258,139.156,0,,,
2023-07-28 03:05:00,139.187,139.206,139.284,1223,139.164,0,,,
2023-07-28 03:10:00,139.21,139.181,139.215,1089,139.13,0,,,
2023-07-28 03:15:00,139.185,139.137,139.202,1040,139.111,0,,,
2023-07-28 03:20:00,139.136,139.148,139.21,851,139.112,0,,,
2023-07-28 03:25:00,139.148,139.692,140.609,861,138.566,0,,,
2023-07-28 03:30:00,139.689,140.208,140.549,1829,139.47,0,,,
2023-07-28 03:35:00,140.21,140.4,141.076,1967,140.209,0,,,
2023-07-28 03:40:00,140.397,139.728,140.451,2020,139.433,0,,,
2023-07-28 03:45:00,139.728,139.734,139.96,1806,139.525,0,,,
2023-07-28 03:50:00,139.725,139.874,140.06,1690,139.61,0,,,
2023-07-28 03:55:00,139.874,139.72,139.927,1485,139.607,0,,,
2023-07-28 04:00:00,139.728,139.237,139.785,1879,139.093,0,,,
2023-07-28 04:05:00,139.206,138.434,139.24,1983,138.434,0,,,
2023-07-28 04:10:00,138.45,138.089,138.676,2005,138.049,0,,,
2023-07-28 04:15:00,138.1,138.32,138.411,1874,138.038,0,,,
2023-07-28 04:20:00,138.331,138.479,138.673,1870,138.221,0,,,
2023-07-28 04:25:00,138.473,138.67,138.738,1765,138.408,0,,,
2023-07-28 04:30:00,138.68,138.695,138.782,1540,138.436,0,,,
2023-07-28 04:35:00,138.694,138.858,138.862,1749,138.534,0,,,
2023-07-28 04:40:00,138.88,138.889,139.101,1613,138.705,0,,,
2023-07-28 04:45:00,138.888,138.636,138.889,1756,138.611,0,,,
2023-07-28 04:50:00,138.615,138.656,138.729,1731,138.474,0,,,
2023-07-28 04:55:00,138.652,138.765,138.85,1671,138.648,0,,,
2023-07-28 05:00:00,138.761,138.627,138.764,1671,138.581,0,,,
2023-07-28 05:05:00,138.638,138.557,138.688,1550,138.544,0,,,
2023-07-28 05:10:00,138.555,138.631,138.681,1537,138.551,0,,,
2023-07-28 05:15:00,138.631,138.656,138.662,1400,138.559,0,,,
2023-07-28 05:20:00,138.653,138.786,138.924,1799,138.652,0,,,
2023-07-28 05:25:00,138.785,138.786,138.858,1780,138.67,0,,,
2023-07-28 05:30:00,138.788,139.025,139.11,2019,138.788,0,,,
2023-07-28 05:35:00,139.025,139.055,139.163,1816,138.97,0,,,
2023-07-28 05:40:00,139.053,139.059,139.071,1608,138.945,0,,,
2023-07-28 05:45:00,139.054,139.142,139.255,1605,139.05,0,,,
2023-07-28 05:50:00,139.131,139.13,139.24,1544,139.07,0,,,
2023-07-28 05:55:00,139.128,139.142,139.26,1699,139.086,0,,,
2023-07-28 06:00:00,139.14,139.129,139.155,1710,139.0,0,,,
2023-07-28 06:05:00,139.129,139.046,139.183,1699,138.925,0,,,
2023-07-28 06:10:00,139.045,139.044,139.07,1573,138.977,0,,,
2023-07-28 06:15:00,139.036,139.115,139.179,1360,139.021,0,,,
2023-07-28 06:20:00,139.116,139.222,139.285,1424,139.08,0,,,
2023-07-28 06:25:00,139.226,139.345,139.361,1473,139.205,0,,,
2023-07-28 06:30:00,139.348,139.48,139.721,1702,139.28,0,,,
2023-07-28 06:35:00,139.48,139.64,139.773,1872,139.478,0,,,
2023-07-28 06:40:00,139.636,139.508,139.674,1765,139.449,0,,,
2023-07-28 06:45:00,139.513,139.27,139.553,1802,139.223,0,,,
2023-07-28 06:50:00,139.269,139.465,139.505,1825,139.203,0,,,
2023-07-28 06:55:00,139.468,139.27,139.489,1638,139.181,0,,,
2023-07-28 07:00:00,139.267,139.023,139.345,1841,138.884,0,,,
2023-07-28 07:05:00,139.015,139.122,139.178,1645,138.963,0,,,
2023-07-28 07:10:00,139.126,139.13,139.27,1451,139.063,0,,,
2023-07-28 07:15:00,139.124,139.028,139.132,1589,138.887,0,,,
2023-07-28 07:20:00,139.027,139.281,139.281,1606,139.016,0,,,
2023-07-28 07:25:00,139.285,139.492,139.498,1612,139.215,0,,,
2023-07-28 07:30:00,139.498,139.506,139.593,1588,139.398,0,,,
2023-07-28 07:35:00,139.506,139.573,139.593,1340,139.4,0,,,
2023-07-28 07:40:00,139.572,139.621,139.692,1390,139.522,0,,,
2023-07-28 07:45:00,139.626,139.695,139.744,1403,139.545,0,,,
