Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2022-02-02 00:00:00,1.26897,1.26863,1.26917,421,1.2683,0,,,
2022-02-02 00:05:00,1.26863,1.26849,1.2687,340,1.2682,0,,,
2022-02-02 00:10:00,1.26834,1.26851,1.26867,258,1.2681,0,,,
2022-02-02 00:15:00,1.26852,1.26831,1.2687,216,1.2681,0,,,
2022-02-02 00:20:00,1.2683,1.2683,1.26842,329,1.268,0,,,
2022-02-02 00:25:00,1.26829,1.26821,1.26829,341,1.2679,0,,,
2022-02-02 00:30:00,1.26817,1.26817,1.2685,321,1.2679,0,,,
2022-02-02 00:35:00,1.26813,1.26819,1.26821,231,1.2679,0,,,
2022-02-02 00:40:00,1.2682,1.26812,1.26824,193,1.2679,0,,,
2022-02-02 00:45:00,1.26813,1.26805,1.26816,260,1.2678,0,,,
2022-02-02 00:50:00,1.26807,1.2681,1.2685,320,1.2678,0,,,
2022-02-02 00:55:00,1.2685,1.26801,1.26855,298,1.2679,0,,,
2022-02-02 01:00:00,1.26813,1.26809,1.26825,334,1.2678,0,,,
2022-02-02 01:05:00,1.26818,1.2682,1.26822,317,1.2677,0,,,
2022-02-02 01:10:00,1.26814,1.26793,1.26828,260,1.2679,0,,,
2022-02-02 01:15:00,1.26801,1.26792,1.26829,327,1.2678,0,,,
2022-02-02 01:20:00,1.26794,1.26795,1.26807,339,1.2677,0,,,
2022-02-02 01:25:00,1.26799,1.26817,1.26833,308,1.2678,0,,,
2022-02-02 01:30:00,1.26832,1.26816,1.26854,545,1.2679,0,,,
2022-02-02 01:35:00,1.26825,1.26831,1.2685,315,1.268,0,,,
2022-02-02 01:40:00,1.2684,1.26845,1.26861,279,1.2682,0,,,
2022-02-02 01:45:00,1.26842,1.2683,1.26857,274,1.2682,0,,,
2022-02-02 01:50:00,1.26837,1.26819,1.2685,270,1.2681,0,,,
2022-02-02 01:55:00,1.26824,1.26799,1.2683,239,1.2679,0,,,
2022-02-02 02:00:00,1.26805,1.26799,1.26816,234,1.2678,0,,,
2022-02-02 02:05:00,1.26803,1.26758,1.26821,420,1.26739,0,,,
2022-02-02 02:10:00,1.26749,1.26793,1.26807,379,1.2674,0,,,
2022-02-02 02:15:00,1.2678,1.268,1.26824,238,1.2678,0,,,
2022-02-02 02:20:00,1.26807,1.26871,1.26902,329,1.268,0,,,
2022-02-02 02:25:00,1.26903,1.26853,1.26903,274,1.2685,0,,,
2022-02-02 02:30:00,1.2687,1.26864,1.26877,283,1.2684,0,,,
2022-02-02 02:35:00,1.26865,1.26881,1.2689,232,1.2685,0,,,
2022-02-02 02:40:00,1.26876,1.26891,1.2692,272,1.2685,0,,,
2022-02-02 02:45:00,1.26903,1.26928,1.26939,162,1.2688,0,,,
2022-02-02 02:50:00,1.26939,1.26903,1.2694,216,1.2687,0,,,
2022-02-02 02:55:00,1.2691,1.26912,1.2692,192,1.2687,0,,,
2022-02-02 03:00:00,1.26898,1.2692,1.26935,244,1.2689,0,,,
2022-02-02 03:05:00,1.26922,1.26935,1.2695,190,1.2691,0,,,
2022-02-02 03:10:00,1.26934,1.26912,1.26943,216,1.269,0,,,
2022-02-02 03:15:00,1.26913,1.26884,1.26942,246,1.2688,0,,,
2022-02-02 03:20:00,1.26885,1.2688,1.26915,229,1.2687,0,,,
2022-02-02 03:25:00,1.26888,1.26905,1.2691,183,1.2687,0,,,
2022-02-02 03:30:00,1.26906,1.26927,1.26935,257,1.2688,0,,,
2022-02-02 03:35:00,1.26925,1.26913,1.26926,333,1.2689,0,,,
2022-02-02 03:40:00,1.26905,1.2688,1.26926,187,1.2687,0,,,
2022-02-02 03:45:00,1.26882,1.26894,1.26901,260,1.2687,0,,,
2022-02-02 03:50:00,1.26895,1.26894,1.26895,228,1.2686,0,,,
2022-02-02 03:55:00,1.2689,1.26895,1.26902,272,1.2687,0,,,
2022-02-02 04:00:00,1.26895,1.26867,1.26895,274,1.2685,0,,,
