Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2022-12-06 00:00:00,1.35876,1.35875,1.35888,553,1.3583,0,,,
2022-12-06 00:05:00,1.3587,1.35871,1.35921,353,1.3585,0,,,
2022-12-06 00:10:00,1.35865,1.359,1.3591,383,1.3586,0,,,
2022-12-06 00:15:00,1.35903,1.35849,1.35913,418,1.35839,0,,,
2022-12-06 00:20:00,1.35843,1.35797,1.35861,550,1.3578,0,,,
2022-12-06 00:25:00,1.358,1.35773,1.35808,397,1.3576,0,,,
2022-12-06 00:30:00,1.35772,1.35813,1.35816,472,1.3575,0,,,
2022-12-06 00:35:00,1.35808,1.35856,1.35861,407,1.3579,0,,,
2022-12-06 00:40:00,1.3585,1.35858,1.35872,385,1.3583,0,,,
2022-12-06 00:45:00,1.3586,1.3584,1.35886,472,1.3583,0,,,
2022-12-06 00:50:00,1.35873,1.35863,1.35881,452,1.3584,0,,,
2022-12-06 00:55:00,1.3586,1.35856,1.35872,461,1.3582,0,,,
2022-12-06 01:00:00,1.35849,1.35844,1.35893,743,1.35808,0,,,
2022-12-06 01:05:00,1.35843,1.35844,1.35857,669,1.3578,0,,,
2022-12-06 01:10:00,1.35838,1.35771,1.35857,646,1.3576,0,,,
2022-12-06 01:15:00,1.35773,1.35751,1.35802,724,1.3573,0,,,
2022-12-06 01:20:00,1.35757,1.35716,1.35763,714,1.3568,0,,,
2022-12-06 01:25:00,1.35715,1.35741,1.35747,565,1.3568,0,,,
2022-12-06 01:30:00,1.35736,1.35734,1.3575,553,1.3569,0,,,
2022-12-06 01:35:00,1.35735,1.35746,1.35757,610,1.3572,0,,,
2022-12-06 01:40:00,1.35747,1.35728,1.35761,668,1.3569,0,,,
2022-12-06 01:45:00,1.35725,1.35737,1.35772,724,1.3569,0,,,
2022-12-06 01:50:00,1.35736,1.35723,1.35751,568,1.3569,0,,,
2022-12-06 01:55:00,1.35722,1.35809,1.35814,690,1.3571,0,,,
2022-12-06 02:00:00,1.3581,1.35819,1.35843,662,1.3578,0,,,
2022-12-06 02:05:00,1.35815,1.3576,1.3582,655,1.3574,0,,,
2022-12-06 02:10:00,1.3577,1.3571,1.35774,651,1.3568,0,,,
2022-12-06 02:15:00,1.35712,1.357,1.35738,587,1.3568,0,,,
2022-12-06 02:20:00,1.35702,1.35756,1.35759,579,1.3569,0,,,
2022-12-06 02:25:00,1.3575,1.35858,1.35873,705,1.3574,0,,,
2022-12-06 02:30:00,1.35859,1.35821,1.35892,726,1.3579,0,,,
2022-12-06 02:35:00,1.3582,1.35837,1.35874,843,1.3581,0,,,
2022-12-06 02:40:00,1.35838,1.35826,1.35845,610,1.3579,0,,,
2022-12-06 02:45:00,1.35832,1.35807,1.35833,605,1.3577,0,,,
2022-12-06 02:50:00,1.35808,1.35791,1.35827,712,1.3578,0,,,
2022-12-06 02:55:00,1.35793,1.35849,1.35855,604,1.3577,0,,,
2022-12-06 03:00:00,1.3585,1.35841,1.35852,577,1.3569,0,,,
2022-12-06 03:05:00,1.35848,1.35811,1.35848,488,1.3579,0,,,
2022-12-06 03:10:00,1.35816,1.35779,1.3583,568,1.3577,0,,,
2022-12-06 03:15:00,1.35778,1.35785,1.35792,544,1.3575,0,,,
2022-12-06 03:20:00,1.35782,1.3578,1.358,506,1.3576,0,,,
2022-12-06 03:25:00,1.35781,1.35795,1.35809,506,1.3576,0,,,
2022-12-06 03:30:00,1.3579,1.35792,1.35815,938,1.35727,0,,,
2022-12-06 03:35:00,1.35789,1.35805,1.35812,735,1.3574,0,,,
2022-12-06 03:40:00,1.35806,1.35825,1.35847,653,1.3578,0,,,
