Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2022-04-01 00:00:00,1.25006,1.2504,1.25066,605,1.2497,0,,,
2022-04-01 00:05:00,1.25039,1.25026,1.25063,334,1.2501,0,,,
2022-04-01 00:10:00,1.25026,1.25019,1.25038,332,1.2499,0,,,
2022-04-01 00:15:00,1.25023,1.2498,1.25031,389,1.2498,0,,,
2022-04-01 00:20:00,1.24996,1.2497,1.2501,363,1.2495,0,,,
2022-04-01 00:25:00,1.24981,1.25001,1.25004,412,1.2496,0,,,
2022-04-01 00:30:00,1.24999,1.2499,1.2502,381,1.2497,0,,,
2022-04-01 00:35:00,1.25015,1.2499,1.25019,318,1.2497,0,,,
2022-04-01 00:40:00,1.24997,1.25039,1.2504,348,1.2497,0,,,
2022-04-01 00:45:00,1.25037,1.25017,1.25043,363,1.2499,0,,,
2022-04-01 00:50:00,1.25018,1.25006,1.25022,431,1.2498,0,,,
2022-04-01 00:55:00,1.25008,1.25037,1.25044,512,1.2499,0,,,
2022-04-01 01:00:00,1.25041,1.25038,1.25079,481,1.2501,0,,,
2022-04-01 01:05:00,1.25037,1.25009,1.25053,329,1.2498,0,,,
2022-04-01 01:10:00,1.25008,1.2497,1.25016,303,1.2496,0,,,
2022-04-01 01:15:00,1.24988,1.24988,1.24999,341,1.2496,0,,,
2022-04-01 01:20:00,1.24987,1.24992,1.24999,401,1.2496,0,,,
2022-04-01 01:25:00,1.24992,1.25031,1.25036,432,1.2498,0,,,
2022-04-01 01:30:00,1.2503,1.25007,1.25037,481,1.2498,0,,,
2022-04-01 01:35:00,1.25006,1.2502,1.25028,418,1.2498,0,,,
2022-04-01 01:40:00,1.25018,1.2501,1.25021,379,1.2498,0,,,
2022-04-01 01:45:00,1.25011,1.25012,1.25029,453,1.2498,0,,,
2022-04-01 01:50:00,1.25013,1.24998,1.25016,389,1.2495,0,,,
2022-04-01 01:55:00,1.24999,1.24987,1.25011,347,1.2495,0,,,
2022-04-01 02:00:00,1.24984,1.24969,1.24988,375,1.2493,0,,,
2022-04-01 02:05:00,1.24968,1.24966,1.24976,256,1.2494,0,,,
2022-04-01 02:10:00,1.24967,1.2496,1.24981,264,1.2494,0,,,
2022-04-01 02:15:00,1.24981,1.24993,1.25,310,1.2495,0,,,
2022-04-01 02:20:00,1.24994,1.25008,1.25021,288,1.2497,0,,,
2022-04-01 02:25:00,1.25007,1.24976,1.25012,282,1.2495,0,,,
2022-04-01 02:30:00,1.24975,1.24977,1.24983,250,1.2494,0,,,
2022-04-01 02:35:00,1.24979,1.24976,1.24983,306,1.2494,0,,,
2022-04-01 02:40:00,1.24975,1.24942,1.24982,307,1.2493,0,,,
2022-04-01 02:45:00,1.24941,1.2494,1.24952,354,1.2492,0,,,
2022-04-01 02:50:00,1.24941,1.25004,1.25005,356,1.2492,0,,,
2022-04-01 02:55:00,1.25003,1.2504,1.25047,297,1.2498,0,,,
2022-04-01 03:00:00,1.25038,1.2501,1.2504,326,1.25,0,,,
2022-04-01 03:05:00,1.25028,1.25052,1.25059,307,1.25,0,,,
2022-04-01 03:10:00,1.2504,1.25037,1.25055,282,1.2502,0,,,
2022-04-01 03:15:00,1.25036,1.25011,1.25036,254,1.2499,0,,,
2022-04-01 03:20:00,1.2501,1.2502,1.25042,207,1.2499,0,,,
2022-04-01 03:25:00,1.2501,1.25007,1.25023,197,1.2498,0,,,
