Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2023-02-19 18:00:00,1.34564,1.34564,1.34564,1,1.34564,0,,,
2023-02-19 18:05:00,1.34601,1.34693,1.34693,3,1.34601,0,,,
2023-02-19 18:10:00,1.34721,1.34634,1.34721,2,1.34634,0,,,
2023-02-19 18:15:00,1.34668,1.34668,1.34668,1,1.34668,0,,,
2023-02-19 18:20:00,1.34721,1.34689,1.34721,2,1.34689,0,,,
2023-02-19 18:30:00,1.34751,1.34751,1.34751,3,1.3475,0,,,
2023-02-19 18:40:00,1.34759,1.34759,1.34759,1,1.34759,0,,,
2023-02-19 18:45:00,1.34761,1.34765,1.34765,5,1.34759,0,,,
2023-02-19 18:50:00,1.34755,1.3471,1.34755,2,1.3471,0,,,
2023-02-19 19:05:00,1.3471,1.34694,1.3471,4,1.34694,0,,,
2023-02-19 19:10:00,1.34697,1.34699,1.34699,2,1.34697,0,,,
2023-02-19 19:15:00,1.34697,1.34691,1.34697,4,1.34681,0,,,
2023-02-19 19:20:00,1.34701,1.34709,1.34709,2,1.34701,0,,,
2023-02-19 19:30:00,1.34736,1.34736,1.34736,1,1.34736,0,,,
2023-02-19 19:35:00,1.34701,1.34701,1.34701,1,1.34701,0,,,
2023-02-19 19:40:00,1.34745,1.34745,1.34745,1,1.34745,0,,,
2023-02-19 20:00:00,1.34709,1.34709,1.34709,1,1.34709,0,,,
2023-02-19 20:10:00,1.34764,1.34768,1.34768,2,1.34764,0,,,
2023-02-19 20:25:00,1.34745,1.34745,1.34745,1,1.34745,0,,,
2023-02-19 20:35:00,1.34768,1.34772,1.34772,2,1.34768,0,,,
2023-02-19 20:45:00,1.34767,1.34767,1.34767,1,1.34767,0,,,
2023-02-19 20:50:00,1.34745,1.34772,1.34772,2,1.34745,0,,,
2023-02-19 20:55:00,1.34733,1.3471,1.34733,2,1.3471,0,,,
2023-02-19 21:00:00,1.347,1.34717,1.34726,5,1.347,0,,,
2023-02-19 21:10:00,1.34737,1.34738,1.34738,2,1.34737,0,,,
2023-02-19 21:15:00,1.3471,1.34737,1.34737,2,1.3471,0,,,
2023-02-19 21:20:00,1.34727,1.34729,1.34729,2,1.34727,0,,,
2023-02-19 21:30:00,1.34632,1.34753,1.34755,7,1.34632,0,,,
2023-02-19 21:35:00,1.34746,1.34746,1.34746,1,1.34746,0,,,
2023-02-19 21:40:00,1.34753,1.3475,1.34753,9,1.34731,0,,,
2023-02-19 21:45:00,1.34731,1.34735,1.3475,3,1.34731,0,,,
2023-02-19 21:50:00,1.34781,1.34787,1.34787,7,1.34632,0,,,
2023-02-19 21:55:00,1.34795,1.3479,1.34802,15,1.34785,0,,,
2023-02-19 22:00:00,1.3479,1.34753,1.348,19,1.3474,0,,,
2023-02-19 22:05:00,1.34771,1.34774,1.34774,5,1.34771,0,,,
2023-02-19 22:10:00,1.34757,1.34774,1.34774,7,1.34757,0,,,
2023-02-19 22:15:00,1.34773,1.34785,1.34785,18,1.34757,0,,,
2023-02-19 22:20:00,1.34784,1.34777,1.34784,18,1.34767,0,,,
2023-02-19 22:25:00,1.3478,1.34802,1.34808,9,1.34778,0,,,
2023-02-19 22:30:00,1.34802,1.34807,1.34807,7,1.34793,0,,,
2023-02-19 22:35:00,1.34797,1.34807,1.34808,18,1.34795,0,,,
2023-02-19 22:40:00,1.34796,1.34746,1.34802,48,1.34746,0,,,
2023-02-19 22:45:00,1.34745,1.34756,1.34764,10,1.34745,0,,,
2023-02-19 22:50:00,1.34757,1.34707,1.34757,196,1.34637,0,,,
2023-02-19 22:55:00,1.34729,1.34754,1.34754,170,1.3463,0,,,
2023-02-19 23:00:00,1.34759,1.34817,1.34818,134,1.34748,0,,,
2023-02-19 23:05:00,1.34819,1.34826,1.34834,72,1.34811,0,,,
2023-02-19 23:10:00,1.34823,1.3482,1.34846,194,1.34811,0,,,
2023-02-19 23:15:00,1.3482,1.3484,1.34848,370,1.34809,0,,,
2023-02-19 23:20:00,1.34841,1.34836,1.34845,105,1.34832,0,,,
2023-02-19 23:25:00,1.34835,1.34842,1.34843,84,1.34831,0,,,
2023-02-19 23:30:00,1.3484,1.34837,1.34845,98,1.34833,0,,,
2023-02-19 23:35:00,1.34835,1.34829,1.34837,107,1.34813,0,,,
2023-02-19 23:40:00,1.34831,1.34819,1.34832,88,1.34816,0,,,
2023-02-19 23:45:00,1.3482,1.34821,1.34828,255,1.34812,0,,,
2023-02-19 23:50:00,1.34822,1.34826,1.34833,171,1.3482,0,,,
2023-02-19 23:55:00,1.34825,1.34823,1.34835,160,1.3482,0,,,
